ID  ,Compound                                                  ,Class   ,CAS       ,Mass ,CP-Wax,CW-20M,DB-1701,DB-Wax,DB1,HP1,OV-101,OV-1701,SE5,SP-Wax,SP-Wax10,SPB-1,Odour       ,almond,burnt,ID <Link>                                               
71  ,2-hexanone                                                ,        ,          ,100  ,1092  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=71 
72  ,2-pentenal                                                ,        ,          ,84   ,1134  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=72 
73  ,3-penten-2-one                                            ,        ,          ,84   ,1137  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=73 
74  ,4-methyl-3-penten-2-one                                   ,        ,          ,98   ,1139  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=74 
75  ,methyl hexanoate                                          ,        ,          ,130  ,1172  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=75 
76  ,2-heptanone                                               ,        ,          ,114  ,1182  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=76 
77  ,heptanal                                                  ,        ,          ,114  ,1182  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=77 
78  ,"2,3-dimethylthiophene"                                   ,        ,          ,112  ,1207  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=78 
79  ,"2,4,5-trimethyloxazole"                                  ,        ,          ,111  ,1213  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=79 
80  ,1-hexen-3-one                                             ,        ,          ,98   ,1216  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=80 
81  ,"2,5-dimethyl-4-ethyloxazole"                             ,        ,          ,125  ,1218  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=81 
82  ,2-hexenal                                                 ,        ,          ,98   ,1220  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=82 
83  ,"2-ethyl-4,5-dimethyloxazole"                             ,        ,          ,125  ,1230  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=83 
84  ,1-heptanethiol                                            ,        ,          ,132  ,1230  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=84 
85  ,2-methyl-5-ethylthiophene                                 ,        ,          ,126  ,1233  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=85 
86  ,2-methylpyridine                                          ,        ,          ,93   ,1237  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=86 
87  ,3-octanone                                                ,        ,          ,128  ,1253  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=87 
88  ,1-pentanol                                                ,        ,          ,88   ,1253  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=88 
89  ,1-hexen-3-ol                                              ,        ,          ,100  ,1253  ,      ,       ,      ,   ,   ,      ,       ,   ,      ,        ,     ,            ,      ,     ,http://www.odour.org.uk/cgi-bin/view.cgi?Compound_ID=89 
